Dataset,Model_Size,Metric,Value,95% C.I.
esnli,xsmall,accuracy,0.92034,"(0.91485, 0.92562)"
esnli,xsmall,percision,0.92025,"(0.91455, 0.92543)"
esnli,xsmall,recall,0.92016,"(0.91495, 0.92509)"
esnli,xsmall,f1,0.9202,"(0.91478, 0.92533)"
esnli,small,accuracy,0.92197,"(0.91688, 0.92735)"
esnli,small,percision,0.92192,"(0.91664, 0.92708)"
esnli,small,recall,0.92178,"(0.91602, 0.92698)"
esnli,small,f1,0.92184,"(0.9162, 0.92732)"
esnli,base,accuracy,0.93142,"(0.92654, 0.9366)"
esnli,base,percision,0.93141,"(0.92635, 0.93628)"
esnli,base,recall,0.93131,"(0.92627, 0.93607)"
esnli,base,f1,0.93134,"(0.92656, 0.93618)"
esnli,large,accuracy,0.93213,"(0.92725, 0.93721)"
esnli,large,percision,0.93214,"(0.92738, 0.93695)"
esnli,large,recall,0.93204,"(0.92665, 0.93691)"
esnli,large,f1,0.93207,"(0.92733, 0.93675)"
mnli,xsmall,accuracy,0.87835,"(0.87162, 0.88467)"
mnli,xsmall,percision,0.87785,"(0.87158, 0.88435)"
mnli,xsmall,recall,0.87822,"(0.8714, 0.88458)"
mnli,xsmall,f1,0.87776,"(0.87121, 0.8837)"
mnli,small,accuracy,0.87794,"(0.87121, 0.88406)"
mnli,small,percision,0.87697,"(0.87084, 0.88369)"
mnli,small,recall,0.87743,"(0.87083, 0.88393)"
mnli,small,f1,0.87708,"(0.87057, 0.88317)"
mnli,base,accuracy,0.89995,"(0.89404, 0.90565)"
mnli,base,percision,0.90003,"(0.89436, 0.90588)"
mnli,base,recall,0.9002,"(0.89457, 0.90574)"
mnli,base,f1,0.89971,"(0.89378, 0.90556)"
mnli,large,accuracy,0.90199,"(0.89628, 0.90769)"
mnli,large,percision,0.90183,"(0.89578, 0.90765)"
mnli,large,recall,0.90219,"(0.89601, 0.908)"
mnli,large,f1,0.90169,"(0.89601, 0.90737)"
cose,xsmall,accuracy,0.33088,"(0.30467, 0.3579)"
cose,small,accuracy,0.33579,"(0.30876, 0.362)"
cose,base,accuracy,0.35872,"(0.33251, 0.38329)"
cose,large,accuracy,0.37756,"(0.35053, 0.40541)"
